Round 1,Affirming,Negating,Winner
Round 1,HIBS,High,High
Round 1,Kāpiti,WGC,WGC
Round 1,Newlands,WC,WC
Round 1,Onslow,Silverstream,Onslow
Round 1,Paraparaumu ,St Orans,Paraparaumu
Round 1,QMC,St Marys,St Marys
Round 1,Sacred Heart,Scots,Scots
Round 1,Marsden,WEGC,Marsden
Round 2,St Marys,WC,WC
Round 2,Scots,High,Scots
Round 2,WGC,HIBS,HIBS
Round 2,Marsden,Onslow,Marsden
Round 2,Paraparaumu,Newlands,Newlands
Round 2,QMC,Kāpiti,Kāpiti
Round 2,WEGC,Sacred Heart,WEGC
Round 2,Silverstream,St Orans,Silverstream
Round 3,WC,Scots,WC
Round 3,HIBS,Marsden,HIBS
Round 3,Newlands,St Marys,St Marys
Round 3,High,WGC,High
Round 3,Onslow,Paraparaumu,Onslow
Round 3,Kāpiti,WEGC,WEGC
Round 3,Silverstream,QMC,QMC
Round 3,Sacred Heart,St Orans,St Orans
Round 4,WC,HIBS,WC
Round 4,St Marys,Scots,St Marys
Round 4,High,Onslow,Onslow
Round 4,WEGC,Marsden,Marsden
Round 4,QMC,Newlands,Newlands
Round 4,WGC,Paraparaumu,WGC
Round 4,Silverstream,Kāpiti,Kāpiti
Round 4,St Orans,Sacred Heart,St Orans
Round 5,St Marys,WC,St Marys
Round 5,Onslow,HIBS,HIBS
Round 5,Marsden,Newlands,Marsden
Round 5,Scots,High,Scots
Round 5,WEGC,WGC,WGC
Round 5,QMC,Kāpiti,Kāpiti
Round 5,Paraparaumu,St Orans,St Orans
Round 5,Sacred Heart,Silverstream,Silverstream
